Table
,Notal ,A 31 de diciembre 2019 ,A 31 de diciembre 2018 
Activos Actives carrientes ,,,
Efective equivalentes de electives ,6 ,"7,075,758 ","6,311,744 "
"Cuentas comerciales y otras cuentas por cobrar, neto ",7 ,"5,700,334 ","8,194,243 "
Inventarios now ,8 ,"5,658,099 ","5,100,407 "
Otros activos financleros ,9 ,"1,624,018 ","5,321,098 "
Activiss por impuestos corrientes ,10 ,"1,518,807 ","1,031,307 "
Otrns activos ,11 ,"1,778,978 ","1,020,428 "
,,"23,355,994 ","26,979,227 "
Actives mastensidos para la vental ,,"8,467 ","51,385 "
Total actives corrientes ,,"23,364,461 ","27,030,612 "
Activos no cerrientes ,,,
"Cuestas comerctales y otras cuentas por colrar, neto ",7 ,786.796 ,"755,574 "
Otros artivas financieros ,9 ,"3,355,274 ","2,826,717 "
Inversiones en asociadas y negocios conjuntos ,13 ,"3,245,072 ","1,844,336 "
Propledades plantal y equipio ,14 ,"64,199,970 ","62,770,279 "
Recursos maturales y del medio ambiente ,is ,"29,072,798 ","23,075,450 "
Actives por derecho die uso ,5.1 ,"456,225 ",- 
intangibles ,16 ,"483,098 ","410,747 "
Activiss por impuestos diferidos ,10 ,"8,622,398 ","5,746,730 "
Goodweill ,13 ,"919,445 ","919,445 "
Otrns activos ,11 ,"942,481 ","860,730 "
Total actives no corrientes ,,"112,083,557 ","99,210,008 "
Total actives ,,"135,448,018 ","126,240,620 "
Pasivos ,,,
Pasives corrientes ,,,
Prestamos y financlaciones ,19 ,"5,012,173 ","4,019,927 "
Cuentas comerciales y otras cuentas por pagar ,20 ,"10,689,246 ","8,945,790 "
Provisiones por beneficios a empleados ,21 ,"1,929,087 ","1,816,882 "
Pasives por impuestos corrientes ,10 ,"2,570,779 ","1,751,300 "
Provisiones y contingencias ,22 ,"789,297 ","814,409 "
Instrumentor financieros derhvades ,,"1,347 ","82,554 "
Otros ,,"750,370 ",393.760 
Total pasives corrientes ,,"21,742,299 ","17,824,622 "
Pasives no corrientes ,,,
Prestamos y financlaciones ,19 ,"33,226,966 ","34,042,718 "
Cuentas comerciales y otras cleentas por pagar ,20 ,"24,445 ","30,522 "
Provisiones por beneficios a empleados ,21 ,"9,551,977 ","6,789,669 "
Pashvos por impuestos diferidos ,10 ,"774,059 ","738,407 "
Pasivos por impuestios no corrientes ,10 ,"70,543 ",- 
Provisiones y contingencias ,22 ,"9,128,991 ","6,939,603 "
Otros pasitions ,,"584,616 ","570,641 "
Total pasives no carrientes ,,"53,361,597 ","49,111,560 "
Total pasivos ,,"75,103,896 ","66,936,182 "
Patrimonio ,,,
Capital suscrite y pagado ,23.1 ,"25,040,067 ","25,040,067 "
Prima en emisides de acciones ,232 ,"6,607,699 ","6,607,699 "
Reservas ,23.3 ,"3,7H4,658 ","5,138,895 "
Otros resultados integrales ,,"6,464,144 ","7,782,096 "
Resultados acumulados ,,"14,515,762 ","12,644,860 "
Patrimonio atribusble a los accionistas de la Compania ,,"56,412,330 ","57,213,607 "
interes so ,,"3,931,792 ","2,090,831 "
Total patrimonio ,,"60,344,122 ","59,304,438 "
Total pasivos y patrimonio ,,"135,448,018 ","126,240,620 "


