Table
,,Por los anos ,terminados a 31 de ,diciembre de 
,Nota ,2019 ,2018 ,2017 
Ingresos por ventas ,24 ,"70,846,769 ","67,819,935 ","55,210,224 "
Costos de ventas ,25 ,"(44,957,508) ","(41,169,527) ","(36,893,474) "
Utilidad bruta ,,"25,889,261 ","26,650,408 ","18,316,750 "
Gastos de administracion ,26 ,"(2,151,599) ","(1,653,858) ","(1,764,524) "
Gastos de operacion y proyectos ,26 ,"(2,631,754) ","(2,903,132) ","(2,926,065) "
(Gasto) recuperacion impairment de activos de largo plazo ,17 ,"(1,747,572) ","(346,604) ","1,373,031 "
"Otros ingresos (gastos) operacionales, neto ",27 ,"1,056,796 ","(35,455) ","505,403 "
Resultado de la operacion ,,"20,415,132 ","21,711,359 ","15,504,595 "
"Resultado financiero, neto ",28 ,,,
Ingresos financieros ,,"1,623,336 ","1,129,563 ","1,159,356 "
Gastos financieros ,,"(3,334,469) ","(3,511,814) ","(3,665,390) "
(Perdida) utilidad por diferencia en cambio ,,"40,639 ","372,223 ","5,514 "
,,"(1,670,494) ","(2,010,028) ","(2,500,520) "
Participacion en los resultados de companias ,13 ,"354,274 ","154,520 ","32,791 "
Utilidad antes de impuesto a las ganancias ,,"19,098,912 ","19,855,851 ","13,036,866 "
Gasto por impuesto a las ganancias ,10 ,"(4,596,413) ","(7,322,019) ","(5,634,944) "
Utilidad neta del periodo ,,"14,502,499 ","12,533,832 ","7,401,922 "
Utilidad atribuible: ,,,,
A los accionistas ,,"13,251,483 ","11,556,405 ","6,620,412 "
Participacion no controladora ,,"1,251,016 ","977,427 ","781,510 "
,,"14,502,499 ","12,533,832 ","7,401,922 "
Utilidad basica por accion (pesos) ,,322.3 ,281.1 ,161.0 


